Wind1VelX_Mean,PtfmSurge_Mean,PtfmHeave_Mean,PtfmPitch_Mean,TwrBsMxt_Mean,TwrBsMyt_Mean,FAIRTEN1_Mean,FAIRTEN2_Mean,FAIRTEN3_Mean,ANCHTEN1_Mean,ANCHTEN2_Mean,ANCHTEN3_Mean,GenPwr_Mean,RotSpeed_Mean,Wind1VelX_Std,PtfmSurge_Std,PtfmHeave_Std,PtfmPitch_Std,TwrBsMxt_Std,TwrBsMyt_Std,FAIRTEN1_Std,FAIRTEN2_Std,FAIRTEN3_Std,ANCHTEN1_Std,ANCHTEN2_Std,ANCHTEN3_Std,GenPwr_Std,RotSpeed_Std,Target
10.67558054,15.34437725,-0.004762929166,2.716809578,4842.749945,61818.23884,828589.0959,1419762.682,833160.7663,631820.478,1220085.59,636673.8466,3515.495015,10.91609092,2.350086198,2.914360714,0.07490386038,0.851936503,3304.142065,19561.16045,48891.72032,202842.0753,37524.02275,48709.70657,202597.7977,37588.48679,1487.976377,1.425425007,1
11.55030644,16.31651896,-0.00555697143,3.003694917,5806.487127,69224.0771,816296.1997,1468821.752,812428.6002,619740.738,1268885.831,616200.7065,4637.420481,12.0420849,1.762436815,0.6965635345,0.05559657075,1.052189699,2164.159246,15426.66792,23200.68398,52691.89009,18952.14147,23067.96723,51905.97837,18949.35488,681.7898207,0.621693565,1
11.52602231,15.79333087,-0.003970226118,2.842165948,5935.441734,64922.85134,832041.7002,1433978.26,811787.3449,635436.7019,1234158.436,615449.8832,4169.949303,11.82872769,2.27258092,1.142618591,0.06174450618,0.8192644207,2828.896717,15866.40189,12698.37039,85747.16747,22315.88538,12452.2226,85211.81573,22251.60461,1065.584734,1.075284212,1
9.974421884,14.22741117,0.002733033887,2.453700062,4672.269071,55509.8285,847187.0965,1343635.732,843240.636,650394.9604,1144030.252,646675.7383,3053.133626,10.48883664,2.125750973,2.196174313,0.07512584656,0.8542854527,3155.130069,17394.79368,36263.81803,150366.366,31419.13246,36047.77938,150065.2589,31429.22316,1233.458883,1.155060658,1
11.53361873,16.52991601,-0.009212372714,3.124508127,6047.195263,71468.21091,812107.2388,1486827.435,813237.5285,615542.2633,1286850.075,617001.5237,4649.545895,12.04178238,1.829538101,1.570176402,0.05765800375,1.056103433,2319.145747,15637.83918,28634.9679,121428.9927,28481.00143,28592.4713,121244.4781,28539.31441,657.5779383,0.5958583831,1
11.22284317,15.890128,-0.002245863837,2.913771447,5635.437617,66585.7125,822445.537,1441025.474,817778.5576,625852.3829,1241173.205,621529.9757,4157.44125,11.67362597,1.884551908,1.052081778,0.05785432562,0.5857656865,2517.328141,12061.88066,21362.15954,79403.47759,16819.99077,21189.50533,78882.17006,16735.48304,989.7200086,0.7839972649,1
10.62425668,15.25312978,0.008509147157,2.357823744,4867.44011,53615.40395,837575.9645,1363445.856,835795.5945,640815.8981,1163514.038,639331.4019,3302.919684,10.81248447,2.515253328,6.348074914,0.07132141822,1.260163009,3630.418187,20385.10864,89008.76377,388450.6099,91251.36289,89422.67912,389424.6885,91612.85368,1460.487499,1.578751887,1
11.75413349,17.27578711,-0.004276702072,3.096014699,5868.498803,70225.95456,806534.5834,1414083.377,801775.4592,609935.2316,1214044.833,605476.672,4381.795023,11.78629221,1.895026178,2.652658864,0.07168049297,1.078761458,2710.260124,17205.90893,47916.57548,185432.2188,31318.76,47884.93279,185383.2493,31498.07767,1018.736138,0.921118416,1
11.04920769,17.92475736,-0.001531425029,2.950278798,5327.389897,67739.76576,795379.5938,1441472.054,793420.991,598729.2564,1241585.852,597055.9626,4302.381024,11.77706317,2.047786399,0.9875547936,0.05127327456,0.5216285901,2232.090732,10361.84629,24116.96211,72170.44792,20221.15597,24048.45956,71607.86523,20281.02626,858.6561658,0.657293799,1
11.54109499,16.964855,0.006996853592,2.807641952,5954.023441,63602.53187,811860.6616,1385476.243,801417.1669,615224.7518,1185611.868,605052.3395,4196.409624,11.74688606,2.070952722,1.751311499,0.06873552791,0.9410381403,2731.551666,16858.00852,20365.38343,119339.8665,26608.58913,20230.28014,118981.4699,26569.3935,1050.151042,1.108091567,1
10.67558054,17.01386817,0.001645563636,2.704921366,4876.8268,61539.188,805084.0787,1396863.612,810857.388,608295.1903,1197185.688,614414.3947,3511.629688,10.91873624,2.350086198,2.855525878,0.0769243532,0.8396344952,3055.126326,19181.89946,44697.26131,192978.4585,36749.85877,44522.22021,192746.9236,36871.06382,1483.741633,1.423764131,1
11.55030644,17.9907708,0.0002115709438,3.008199787,5822.860513,69325.77631,794141.102,1446590.051,792594.77,597501.9846,1246613.715,596291.1526,4644.687255,12.04708299,1.762436815,0.6957981162,0.05523674147,1.054168612,2301.280117,15367.51109,22849.83931,51379.28373,20019.78725,22869.61726,50633.28215,20091.39205,676.5673091,0.6185940749,1
11.52602231,17.44284406,0.002105088213,2.846477282,5957.071647,65010.36189,810556.7777,1410282.836,790235.5231,613932.4031,1210467.752,593827.7461,4170.125478,11.82893639,2.27258092,1.158851064,0.06128505807,0.819493852,2839.150826,15757.08889,16510.54486,83968.59902,16855.5542,16343.45014,83449.18236,16835.38771,1065.190416,1.073140389,1
9.974421884,15.8923979,0.008976827081,2.451529784,4663.201861,55441.62208,824378.8297,1323321.79,818512.958,627596.2477,1123729.568,622019.331,3046.126678,10.48290134,2.125750973,2.245085608,0.07638319125,0.8595853481,3178.377754,17328.44597,33945.18359,150073.1189,30225.36557,33828.17782,149814.9055,30290.47927,1231.69483,1.155915827,1
11.53361873,18.1461895,-0.002755784369,3.121547749,6054.268402,71387.7295,792256.8567,1459538.961,791822.3912,595669.9778,1259538.993,595514.0709,4652.581561,12.0437649,1.829538101,1.552382945,0.05798958243,1.069801811,2437.985297,15856.14582,26866.62932,116515.3881,28864.61605,26827.2125,116343.7706,29038.12914,663.5671546,0.6061413823,1
11.22284317,17.50312306,0.003836632825,2.914458789,5655.978609,66552.17689,801394.3635,1415621.183,797482.9615,604737.2581,1215733.051,601187.4708,4154.882507,11.66687083,1.884551908,1.094630837,0.05685676604,0.5876976778,2467.692866,12163.45668,25414.68737,79657.83405,14088.52549,25390.84969,79175.08629,14090.55473,997.002822,0.7925504906,1
10.62425668,16.44265831,0.01080233532,2.408267468,4997.330143,54731.52804,816482.5588,1346310.5,811999.3708,619692.1441,1146889.486,615450.2545,3446.034307,10.96487267,2.515253328,1.775847703,0.07171509645,0.9811314362,3507.441664,18547.76858,24650.84982,112620.0519,27834.95707,24451.79568,112145.9152,27992.10493,1416.843961,1.572258301,1
11.75413349,17.60534901,-0.004940679219,3.065849337,5862.878918,69908.18264,801408.6725,1435477.808,797825.9228,604763.8147,1235454.871,601501.4248,4365.718324,11.77387939,1.895026178,2.560976736,0.07354205992,1.074462653,2376.262626,17288.20069,40028.65677,174163.5788,36247.21766,39928.96625,174126.2875,36373.32776,1056.045888,0.9681299873,1
11.04920769,17.75580661,-0.0007501789257,2.942631836,5309.374047,67454.36593,797148.1407,1429081.743,795438.6474,600501.1337,1229186.953,599110.3661,4294.336663,11.77107532,2.047786399,0.7621095253,0.05041266718,0.5332260375,2246.929856,10732.03245,25476.29673,57937.89028,12724.68317,25484.75456,57153.77633,12698.3608,872.828214,0.681327285,1
11.54109499,16.9729327,0.007160784225,2.805338548,5951.243291,63529.01098,811826.8758,1383995.222,801288.23,615198.6395,1184163.496,604907.3433,4196.647713,11.74917038,2.070952722,1.614319929,0.06826961864,0.9465633202,2741.345324,16843.93034,18128.04668,108222.4262,25913.18734,17948.83034,107796.969,25873.86345,1050.166937,1.110657076,1
10.67558054,17.06462959,0.001475155756,2.711115447,4851.796079,61709.79981,804326.0315,1400358.95,810298.7465,607541.9239,1200680.55,613859.7296,3513.474003,10.91760305,2.350086198,2.866030336,0.07665646132,0.8497718807,3245.699788,19383.85967,45077.24482,194755.6455,36573.3525,44909.85791,194536.1483,36756.43302,1485.68801,1.423932168,1
11.55030644,17.96834035,0.0002808210262,3.004751696,5811.060394,69228.83454,794441.6996,1445137.789,792890.0371,597801.4731,1245161.783,596585.0514,4638.49581,12.04274732,1.762436815,0.7090630347,0.0552799733,1.053196899,2232.72939,15380.30517,23091.6225,51947.40833,20517.0835,23103.41668,51202.43696,20600.83828,679.6530321,0.6195587754,1
11.52602231,17.43817982,0.002157539256,2.84379091,5939.94414,64946.20263,810669.0983,1410069.277,790263.4012,614044.9216,1210255.333,593853.203,4167.889059,11.82696439,2.27258092,1.166588521,0.06123935508,0.8237898564,2864.838156,15823.07881,16547.65323,84410.46642,16905.01108,16376.35687,83896.29291,16867.79704,1067.690249,1.078147405,1
9.974421884,15.89103562,0.009011602822,2.448297153,4663.738827,55386.9449,824443.5012,1323117.487,818505.1224,627659.6668,1123527.819,622012.1151,3049.121085,10.48363261,2.125750973,2.234898529,0.07635138953,0.8520218588,3070.033655,17187.81021,33969.06041,149334.1568,30046.12565,33837.40354,149081.5238,30118.27136,1236.197182,1.157184877,1
11.53361873,18.1459857,-0.002792532892,3.123712915,6058.280352,71416.72611,792208.7622,1459550.896,791924.6417,595621.4782,1259549.389,595615.7125,4650.832846,12.04340929,1.829538101,1.551127936,0.05805818486,1.063530095,2475.177709,15726.24106,26805.68659,116175.6774,29210.14791,26774.35815,116006.737,29375.91377,659.4116939,0.601619259,1
11.22284317,17.51170393,0.003751420342,2.916335022,5655.450229,66621.18569,801240.9347,1416108.118,797418.0664,604583.6945,1216219.02,601123.4338,4157.542394,11.66950677,1.884551908,1.089627364,0.05700440509,0.5835303619,2507.885919,12030.48364,25554.70085,79399.37467,13968.24752,25537.40073,78907.33986,13957.1121,993.5240561,0.7862848761,1
10.62425668,8.039125593,-0.02273983185,2.336829248,4879.789076,53410.29717,949002.9187,1492382.095,945530.8318,752143.5327,1292889.256,748977.2825,3301.700028,10.81241713,2.515253328,4.147228722,0.07008356372,1.177906154,3484.613,19600.65672,72404.61148,304050.5937,71899.84577,72712.80103,304732.6646,72156.98242,1447.278256,1.558593113,1
11.75413349,9.279194429,-0.03911129969,3.092830078,5893.148619,70472.37083,927960.0022,1562039.114,919092.6861,731403.2319,1362003.713,722767.966,4398.818494,11.8069521,1.895026178,2.868292999,0.07104935267,1.068972313,3037.109554,17208.5785,57974.13887,220479.1622,48764.50623,57892.33621,220590.6292,48790.88333,1025.064858,0.9260521946,1
11.04920769,9.444007751,-0.0335573282,2.943130971,5338.100194,67437.64674,915132.9268,1550596.491,921366.9814,718487.7234,1350761.391,725042.4255,4286.738298,11.76677669,2.047786399,0.7333404694,0.04967263819,0.5359651586,2431.913091,10745.96829,21746.8077,65732.16844,14997.12764,21622.84525,64918.18916,14735.29441,875.9935756,0.686275111,1
11.54109499,8.810213577,-0.02629057014,2.807420194,5941.297529,63609.27876,936259.9842,1508659.993,922565.1879,739619.5176,1308870.961,726212.9158,4197.144906,11.75207746,2.070952722,1.347928506,0.06698756453,0.9299553447,2860.922822,16734.21818,19714.68891,104922.2532,37152.28749,19511.60899,104379.2134,37050.27334,1045.526094,1.101103472,1
10.67558054,8.743528814,-0.03137197817,2.690567158,4870.055059,61310.63906,930701.6537,1514030.553,934607.858,733941.5674,1314394.234,738136.2107,3513.977002,10.9152901,2.350086198,2.576174621,0.07423094109,0.828499878,3453.074868,18889.26571,42502.91096,195348.9207,50305.15467,42264.75202,195121.7746,50225.87582,1486.385359,1.423836649,1
11.55030644,9.728082612,-0.03295149066,3.007151846,5782.988588,69368.11274,916893.4222,1573408.303,910966.7367,720268.2867,1373553.697,714620.0435,4647.836561,12.05098766,1.762436815,0.8666023406,0.0547254231,1.055086875,2413.26531,15693.79755,27601.00569,75306.0159,15489.93885,27517.97909,74646.32349,15329.07767,677.6194051,0.6359872711,1
